,City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,continent
127,Cork,83.55,47.98,64.32,18.48,76.37,35.83,32.807190000000006,-96.7963929,Europe
128,Hamilton,81.34,56.52,86.67,81.68,84.83,35.68,37.942609600000004,-96.19513200000002,Atlantic
129,Lausanne,87.21,90.77,65.85,87.62,73.21,35.55,46.5196535,6.6322734,Europe
130,Oslo,82.09,52.51,88.19,29.39,71.27,35.53,59.913868799999996,10.7522454,Europe
131,Mumbai,77.13,28.83,58.41,70.49,26.43,34.63,19.0759837,72.87765590000001,Asia
132,Prague,76.64,35.32,64.15,41.53,58.85,34.54,50.0755381,14.4378005,Europe
133,Bratislava,74.76,29.29,59.72,30.55,56.18,34.38,48.148596500000004,17.1077478,Europe
134,Budapest,74.13,24.59,60.42,68.38,46.58,34.18,47.497912,19.040235,Europe
135,Belfast,82.15,52.8,33.33,29.24,80.55,34.06,54.59728500000001,-5.93012,Europe
136,Malmo,81.37,52.56,87.96,83.45,60.32,33.97,55.604981,13.003822,Error
137,Bucharest,72.28,22.85,52.05,74.57,29.45,33.41,44.43044889999999,26.0979342,Europe
138,Chennai,78.12,32.91,67.49,78.07,43.89,33.22,13.0826802,80.2707184,Asia
139,Brighton,80.61,50.56,58.33,50.25,62.62,33.12,36.063773700000006,-95.8818853,Europe
140,Ljubljana,75.35,32.28,71.76,85.59,61.87,32.94,46.0569465,14.5057515,Europe
141,Darwin,79.63,49.51,75.28,6.78,78.52,32.8,37.0929586,-95.58283359999999,Australia
142,Sydney,94.53,54.82,71.27,18.48,74.32,32.8,-33.8688197,151.2092955,Australia
143,Copenhagen,82.85,49.33,85.14,30.54,75.23,32.39,55.676096799999996,12.568337199999998,Europe
144,Riyadh,83.22,63.22,54.59,11.48,67.72,32.39,24.7135517,46.67529570000001,Asia
145,Zagreb,73.84,26.71,52.78,83.45,47.59,32.29,45.815010799999996,15.981918900000002,Europe
146,San Francisco,85.38,63.54,75.46,17.06,79.08,32.25,37.7749295,-122.4194155,America
147,Vadodara,76.54,36.37,77.87,92.42,54.98,32.03,22.307158800000003,73.1812187,Asia
148,Warsaw,76.76,35.77,63.33,86.16,51.82,32.03,52.2296756,21.012228699999998,Europe
149,Montreal,89.28,66.99,66.77,6.27,78.55,31.63,45.5016889,-73.567256,America
150,Edmonton,85.94,67.19,78.83,22.79,89.58,31.14,53.5461245,-113.49382290000001,America
151,Edinburgh,83.92,58.77,60.64,13.94,75.03,30.51,55.953252,-3.1882669999999997,Error
152,Charlotte,84.46,77.18,72.08,67.05,84.39,30.21,35.2270869,-80.8431267,America
